GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
My Java Application,com.mycompany.app,Todo,10,19,2,0,1,8,2,4,1,4
My Java Application,com.mycompany.app,App,177,0,17,0,58,0,18,0,8,0
